ArabicWord,EnglishMeaning,Link,,
??????,"Great , Big , Old , intolerant , Too Hard , Pride , Arrogance , Large , Spacious , Magnification , Praise",link to dictionary,,
??????,"Write , Record , Compose , Draft , Letter , Message , Document , Deed , The Quran , The Bible , Library , School , Bureau , Department , Secretary , Clerk",link to dictionary,,
??????,"Hide , Keep Secret , Suppress , Silence , Quench fire",link to dictionary,,
??????,"Near , Short Distance , Dune",link to dictionary,,
??????,"Many , Numerous , More , Multiply",link to dictionary,,
??????,"Exertion , Toil , Labor , Earn a living",link to dictionary,,
??????,"Dull , Muddy , Unhappy , Grief , Sorrow",link to dictionary,,
?????,"Work Hard , Toil , Exhaust , Industrious",link to dictionary,,
??????,"Lie , Deceive , Mislead , Falsehood , Disprove , Deny",link to dictionary,,
??????,"Worry , Anxiety , Distress , Pain",link to dictionary,,
?????,"Return , Recur , Retreat , Attack , Repeat , Succession , Purification ,",link to dictionary,,
???????,"Chair , Throne , Base , Apostolic ,",link to dictionary,,
??????,"Noble , Magnanimous , Liberal , Kindness , Decent , Generous , Respect , Prestige",link to dictionary,,
??????,"Hate , Detest , Loath , Dislike , Force , Compel , Unwilling , Reluctant",link to dictionary,,
??????,"Not at all, Certainly not, A thousand times no",link to dictionary,,
??????,"Find no market , Sell badly , Stagnant , Economic Depression , Recession , Slump",link to dictionary,,
??????,"Gain , Ear , Profit , Possess , Own , Acquisition",link to dictionary,,
??????,"Dark , Gloomy , Eclipse , Piece , Fragment , Reprimanded",link to dictionary,,
??????,"Lazy , Negligent , Loafer",link to dictionary,,
?????,"Cloth , Dress , Face , Garment",link to dictionary,,
??????,"Pull Off , Remove , Erase , Scrap ,",link to dictionary,,
??????,"Remove , Raise , Uncover , Expose , Investigation , Report , Discover , Detect",link to dictionary,,
??????,"Keep silent , Conceal , Suppress anger , Filled with anger",link to dictionary,,
??????,"To be full round of breast , Bosom , Joint , Ankle , Heel , Die , Cube , High rank , Kaaba , Cubic",link to dictionary,,
??????,"To be full round of breast , Bosom , Joint , Ankle , Heel , Die , Cube , High rank , Kaaba , Cubic",link to dictionary,,
???????,"Shine , Sparkle , Radiate , Pearl , Brilliancy",link to dictionary,,
??????,"Thick , Coherent , Felt Cap , Thick Masses of Clouds , Weigh Down",link to dictionary,,
????,"Intelligent , Core , Marrow , Pitch , Essence ,",link to dictionary,,
??????,"Hesitate , Delay , Short Delay , Pause , Stop over",link to dictionary,,
??????,"Put on , Wear , Dress , Obscure , Clothing , Costume , Garment , Inform , Ambiguous , Doubt",link to dictionary,,
?????,"Border , Hem , Abstain , Refrain , Cease , Restrain , Palm of the hand , Paw , Glove , Sufficient , Blind , Beg , Altogether , Surround",link to dictionary,,
??????,"Turn Around , Fade , Turn Back , Retreat , Equal , Alike , Efficient , Alike ,",link to dictionary,,
??????,"Cover , Hide , Renege one faith , infidel , small village , hamlet , darkness of the night , grave , unbeliever , Ungrateful",link to dictionary,,
??????,"Support , Provide , Put up Bail , Legal Guardian , Guarantee , Sponsor , Pledge",link to dictionary,,
?????,"Enough , Sufficient , Protect , Save , Ability , Reward , Content ,",link to dictionary,,
?????,"Totality , Entirety , everyone , each one<everything , All together , Whatever , Whenever , Whoever ,",link to dictionary,,
??????,"Dog , Canine , Wolf , Otter , Shark , Burning of Thirst , Greed , Rabies , Mad ,",link to dictionary,,
??????,"Guard , Protect , Grass , Pasture ,",link to dictionary,,
??????,"Frown , Mein , Facial Expression , Gloomy , Color less",link to dictionary,,
???,"Totality , Entirety , everyone , each one<everything , All together , Whatever , Whenever , Whoever ,",link to dictionary,,
??????,"Word , Speech , Address , Announcement , Talking , Language , Discussion , Speak , Word , Cut ,",link to dictionary,,
??????,"Burdening , Trouble , Discomfort , Ceremony , Cost , Formality , Expenses , Freckled , Spotted ,",link to dictionary,,
???,"Amount , Quantity",link to dictionary,,
?????,"Cover , Hide",link to dictionary,,
??????,"Perfect , Complete , Whole",link to dictionary,,
??????,"Blind , Dim , Dark , Born Blind",link to dictionary,,
?????,"Hide , Conceal , Shelter , Home , Nest , Cover , Hidden , Well Kept ,",link to dictionary,,
?????,"Hide , Conceal , Shelter , Home , Nest , Cover , Hidden , Well Kept ,",link to dictionary,,
??????,"Bury , Hide , Treasure , Firm , Sturdy",link to dictionary,,
??????,"Sweep , Sweeper , Church",link to dictionary,,
??????,"Mature Age , Middle Age , Old Age",link to dictionary,,
??????,"Ingratitude , Ungrateful",link to dictionary,,
??????,"Predict the Future , Prophecy",link to dictionary,,
?????,"Cave , Cavern , Seven Sleepers",link to dictionary,,
???????,"Much , Abundant , Large Quantity , River in Paradise",link to dictionary,,
????,"Drinking Glass , Tumbler",link to dictionary,,
?????,"Almost , Be about , On the point , All but , Scarcely , Barely",link to dictionary,,
?????,"Nice , Fine , Pretty , Beautiful , Prettier",link to dictionary,,
???????,"Star , Group , Troop",link to dictionary,,
????,"Camel Saddle , Furnace , Round Spherical , Roll , Coil , Curl Up",link to dictionary,,
???,"Pile , Pile up",link to dictionary,,
?????,"exist , occur , have , own , World , Universe , Cosmic , Place , Site , Location , Creation , Origination , Shapely , Genesis",link to dictionary,,
?????,"exist , occur , have , own , World , Universe , Cosmic , Place , Site , Location , Creation , Origination , Shapely , Genesis",link to dictionary,,
?????,"Deceive , Outwit , Harm , Conspire , Irritate , Anger , Conspiracy , Intrigue",link to dictionary,,
????,"So That , In order that, Lest",link to dictionary,,
??????,"How , Mood , State , Condition , Pleasure , Manner , Fashion , Nature , Modify , Conform , Adopt",link to dictionary,,
?????,"Measure , Weigh , Compare ,",link to dictionary,,
?????,"Milk , Yogurt , Dairy Products ,",link to dictionary,,
??????,"Take refuge , Shelter , Seek information , Refugee , Inmate of Asylum ,",link to dictionary,,
?????,"Obstinate , Persevere , Argue , Troublesome , Depth of sea , Abyss , Noise ,",link to dictionary,,
??????,"Bury , Dig a grave , Deviate from straight path , Apostate",link to dictionary,,
??????,"Cover , Foot of Mountain , Demand Urgently",link to dictionary,,
??????,"Catch up , keep close , Overtake , Following , Added , Attached , Dependency , Accompany , Adjacent",link to dictionary,,
?????,"Bear , Insult , Abuse",link to dictionary,,
??????,"Flesh , Meat , Mend , Weld , Relationship , Kinship ,",link to dictionary,,
??????,"Speak un grammatical Arabic , Intelligent , Sensible , Chant , Music",link to dictionary,,
?????,"Dispute Violently , Quarrel , Fiercely , Grim , Tough",link to dictionary,,
?????,"At , By , In front , Before , With , He has ,",link to dictionary,,
?????,"Sweet , Delicious , Pleasant , Joy , Lust ,",link to dictionary,,
??????,"Firm , Fix , Adhere , Stick ,",link to dictionary,,
??????,"At, By, Near , With, In Possession of",link to dictionary,,
??????,"Cling , Adhere , Stick , Necessary , Imperative , Obligatory , Compulsive",link to dictionary,,
??????,"Eloquent , Language , Tongue , Orally , Verbally",link to dictionary,,
??????,", Finer, More Delicate, Kind , Friendly , Graceful , Elegant",link to dictionary,,
??????,"Flame , Blaze , Burn",link to dictionary,,
??????,"Play , Toy , Deceive , Game , Joke , Amuse , Sport , Gambling , Trick , Saliva , Drool , Playground",link to dictionary,,
?????,"Warp , Roll , Wind , Coil , Envelop , Cover , Densely growing Tree , Gathered , Assembled , Crowd , File , Folder",link to dictionary,,
??????,"Curse , Damn , Abominable",link to dictionary,,
?????,"Speak Null , Talk non sense , Language , Dialect , Idiom , Lexicographer , Incorrect usage of grammar , Incorrect usage ,",link to dictionary,,
??????,"Turn , Glance , Quick Look , Attracting Attention , Regard Consideration ,",link to dictionary,,
??????,"Burn , Sear , Strike Lightly ,",link to dictionary,,
??????,"Speak , Enunciate , Pronounce , Sound , Expression , Term , Word , Verbal , Liberal , Oral",link to dictionary,,
?????,"Nickname , Title , Surname ,",link to dictionary,,
??????,"Impregnate , Pollinate , Pollen",link to dictionary,,
??????,"Gather , Pick Up , Tongue , Pincers",link to dictionary,,
??????,"Clog , Block , Eat , Swallow , Mouthful ,",link to dictionary,,
??????,"Snatch , Catch , Seize , Usurp",link to dictionary,,
??????,"Encounter , Meet , Experience , Endure , Automatic , Throw , Drop , Submit , Recite , Sing , Receive , Accept , Obtain ,",link to dictionary,,
??????,"And , But , However , Yet",link to dictionary,,
??????,"Glance , See , Notice , Quick look , wink , Glow of Light Flash ,",link to dictionary,,
?????,"Slight mental derangement, Gather , Collect , Reunite , Arrange",link to dictionary,,
??????,"Burn , Blaze , Kindle , Ignite , Catch Fire , Inflamed",link to dictionary,,
?????,", Forget, Oblivious, Amuse oneself , Pastime Dally",link to dictionary,,
??????,"Breath Heavily , Gasp ,",link to dictionary,,
??????,"Devour , Swallow , Consume , Inspire , Instinct",link to dictionary,,
?????,"Appear , Visible , Break , Spark , Seem , Appear , Board , Slate , Slab , Sheet , Program , Project , Bill , Sign , Signal , Allusion",link to dictionary,,
?????,"Refuge , Shelter , Protection",link to dictionary,,
????,"If, Even though",link to dictionary,,
?????,"Blame , Critic , Accuser , Linger , Procrastinate",link to dictionary,,
?????,"Color , Complexion , Kind , Species , Changeable , Multicolor",link to dictionary,,
?????,"Turn , Curve , Twist, Pay attention",link to dictionary,,
??????,Only if I wish,link to dictionary,,
??????,"Nothing , But , Only , Merely",link to dictionary,,
?????,"Night , Nightly , Cover of Darkness",link to dictionary,,
?????,"Soft , Gentle , Tender , Lenient , Smooth",link to dictionary,,
???,"What , Which , Whatever",link to dictionary,,
???,"What , Which , Whatever",link to dictionary,,
????????,Hundred,link to dictionary,,
??????,"Carry away , Take Away , Enjoyment , Delight , Compensation",link to dictionary,,
?????,"When , What time , How Long",link to dictionary,,
??????,"Resemble , Imitate , Compare , Similar , Same , Equivalent",link to dictionary,,
??????,"Strong , Solid , firm , strength , Pavement ,",link to dictionary,,
??????,"Resemble , Imitate , Compare , Similar , Same , Equivalent",link to dictionary,,
??????,"Glorious , Exalted , Splendor , Praiseworthy , Famous , Distinguish , Noble",link to dictionary,,
??????,"Clarify , Purify , Shiny , Testing , Thorough Examination",link to dictionary,,
?????,"Erase , Wipe out , Obliteration , Eradication ,",link to dictionary,,
??????,"Erase , Annihilate , Destroy , Obliteration , Eradication , Destruction , waning of the moon",link to dictionary,,
??????,"Barren Land , Plot , Famine, Pretext",link to dictionary,,
??????,"Try , Test , Subject , Trial , Ordeal , Examination , Experiment",link to dictionary,,
??????,"Try , Test , Subject , Trial , Ordeal , Examination , Experiment",link to dictionary,,
??????,,link to dictionary,,
??????,"Churn , Shake violently , In labor pain , butter milk",link to dictionary,,
?????,"Extend , Expand , Stretch , Assist , Support , Matter , Article , Supply , Extend life ,",link to dictionary,,
?????,"Past , March Past , Run , Transit , Crossing , Lapse , iron Shovel , Spade , Time , Turn , Twice , Several Times , Permit , Pass , Continue, (2-pp-624) Bitter, Strength, Power",link to dictionary,,
?????,"Rain , Clouds",link to dictionary,,
???,"Town , City , Medina , Urban , Civil , Civilized",link to dictionary,,
??????,"Wholesome , Manly , Healthy, Person, A Man, Women,",link to dictionary,,
??????,"Lively , Glad , Rejoice , Cheerful",link to dictionary,,
??????,"Pasture Land , Meadow , Confusion , Jumble",link to dictionary,,
????????,"Small Pearls , Corals",link to dictionary,,
??????,"Pasture , Fertile , Flourishing",link to dictionary,,
??????,"Disease , Sickness , Illness , Patient , Nursing , Hospital",link to dictionary,,
??????,"Disease , Sickness , Illness , Patient , Nursing , Hospital",link to dictionary,,
?????,"Argument , Dispute , Doubt , Oppose , Contest",link to dictionary,,
?????,"Argument , Dispute , Doubt , Oppose , Contest",link to dictionary,,
??????,"Mix , Blend , Temperament , Nature , Intermingle",link to dictionary,,
??????,"Tear , Rend , Rapture , Shred , Burst Open",link to dictionary,,
??????,"Stroke , with hand , Wipe away , Rub off , wash off",link to dictionary,,
?????,"Touch , Contact , Adjacent , Violate , Cohabit , Befall , Damage<harm , Calamity",link to dictionary,,
??????,"Transform , Convert , Distort , Disfigured",link to dictionary,,
??????,"Grasp , Claps , Seize , Hold , Grip , Detain , Restrain , Perfume ,",link to dictionary,,
???????,"Evening , Yesterday , Last night",link to dictionary,,
????,"Poverty , Misery , Submissiveness ,",link to dictionary,,
????,"Poverty , Misery , Submissiveness ,",link to dictionary,,
?????,"Go on Foot , Walk , Pace , Livestock , Cattle , Adopt , Adjust",link to dictionary,,
??????,"Embryo , Chew , Bite ,",link to dictionary,,
?????,"Elapse . Expire of time , Take away, Proceed",link to dictionary,,
?????,"Hurry ,Hour, Ride, Moment",link to dictionary,,
??????,"Rain , Pour out Shower",link to dictionary,,
????,"With , Together , Accompanied , Together , Company , Same time",link to dictionary,,
??????,Goat,link to dictionary,,
???????,"Utensil , Vessel , Examine",link to dictionary,,
??????,"Detest , Hate ,",link to dictionary,,
??????,"Remain , Dwell , Stay",link to dictionary,,
??????,"Deceive , Double cross , Trick",link to dictionary,,
??????,"Strong , Power , Ability , Strength , Possible , Capacity , Enable",link to dictionary,,
??????,"Fill , Occupy , Crowd , Congregation , Publicly , Help , Support , Join Forces",link to dictionary,,
??????,"Fill , Occupy , Crowd , Congregation , Publicly , Help , Support , Join Forces",link to dictionary,,
?????,"Weary , Bored , Impatient , Tired",link to dictionary,,
??????,"Salt , Beautiful , Handsome , Sailor , Navigation , Maritime",link to dictionary,,
??????,"Poor , Flatter , Smooth , Level",link to dictionary,,
?????,"Touch , Contact , Adjacent , Violate , Cohabit , Befall , Damage<harm , Calamity",link to dictionary,,
??????,"Angel, Acquire , Take , Possession , Property , wealth , state , Government , Royalty , State , Civilian ,",link to dictionary,,
?????,"Walk , Run , Open Country , Quite while , Long time , Dictate , Enjoy",link to dictionary,,
?????,"Kind , Obligating , Grant , Favor , Gift , Blessing , Fate , Death , Weaken",link to dictionary,,
??????,", Protect, Stop , Detail , Hinder , Prevent , Refuse , Deny , Inaccessible , Resistance , Strength , Fortified",link to dictionary,,
?????,"Try , Tempt , Afflict , Suffer , Experience , Affected , Wish , Desire , Hope",link to dictionary,,
?????,"Try , Tempt , Afflict , Suffer , Experience , Affected , Wish , Desire , Hope",link to dictionary,,
?????,"Bed , Cradle , Grave , Resting Place",link to dictionary,,
??????,"Take one time , Grant , Respite , Slowly , Leisurely",link to dictionary,,
??????,", Degrade, Serve , Humble , Work , Business , Professionalism , Contempt , Abuse",link to dictionary,,
??????,"Serve , Humble , Work , Business , Profe4ssionalism , Contempt , Abuse",link to dictionary,,
??????,"Serve , Humble , Work , Business , Profe4ssionalism , Contempt , Abuse",link to dictionary,,
?????,"Die , Perish , Death , Disease , Epidemic , Plague , Decease",link to dictionary,,
?????,"Surge , Swell , Billows , Waves , Ripple , Vibration , Undulation",link to dictionary,,
?????,"Surge , Swell , Billows , Waves , Ripple , Vibration , Undulation",link to dictionary,,
????,"Property , Possession , Goods , Wealth , Money , Finance , Revenue , Treasury",link to dictionary,,
????,"Property , Possession , Goods , Wealth , Money , Finance , Revenue , Treasury",link to dictionary,,
??? ??,"Water , Liquid , Hydraulic",link to dictionary,,
?????,"Move , Upset , Swing , Shake Violently , Open Field , Open space , Table , to Sway Back and forth",link to dictionary,,
?????,"Separate , Distinguish , Favor , Privilege , Merit , Surpass",link to dictionary,,
????,"Bend down , Lean over , Tilt , Slope , Affection , Liking",link to dictionary,,
?????,"Far away , Stay away , Remoteness , Remove , Place at a distance",link to dictionary,,
????,"Far away , Stay away , Remoteness , Remove , Place at a distance",link to dictionary,,
??????,"News , Information , announcement , Indicate , Reveal , Notification ,",link to dictionary,,
??????,"Grow Plant , Sprout , Germinate , Plant , Vegetable , Seedling , Cultivate , Plant nursery",link to dictionary,,
??????,"Throw Away , Reject , Discard , Abandon , Renounce , Turn away",link to dictionary,,
??????,"Sing , Shout , Granary , Barn , Swelling , Stress , Accent",link to dictionary,,
??????,"Gush out , Stream forth of water , Find , Invent , Discover ,",link to dictionary,,
??????,"Gush Forth , Source , Spring , Cause",link to dictionary,,
??????,"Support , Highland , Plateau , Upholstery , Comb , Tease",link to dictionary,,
???,"Scatter, write in prose, fragmented",link to dictionary,,
??????,"Impure , Unclean , Contaminated",link to dictionary,,
??????,"Rise of star , Installment , Celestial body , Star , Constellation , Astronomy , mine , pit",link to dictionary,,
?????,"Save one self , Rescue , Escape , Whisper to each other , Converse confidentially",link to dictionary,,
??????,"Cry , Weeping , Period , death ,",link to dictionary,,
??????,"Carve , Cut out , Sculpt , Wood work , Stone work",link to dictionary,,
??????,"cut the throat , Slaughter , Skilled , Experience , Suicide",link to dictionary,,
??????,"Calamitous , Ill fated , Unlucky",link to dictionary,,
??????,"Bee, Emaciated , Loose weigh , Grow thin, Gift, Donation",link to dictionary,,
??????,"Snore, Decay, Decompose, Warm Eaton",link to dictionary,,
?????,"Escape , Equal , Peer , Partner , Rival , Compromise",link to dictionary,,
??????,"Sift , Palm , Date Palm , Bran , Refuse , Sleeve",link to dictionary,,
?????,"Call , Summation , Meet , Assemble , Council , Moist , Wet , Club House , Proclamation",link to dictionary,,
??????,"Repent , Regret , Remorse , Drinking Companion",link to dictionary,,
??????,"Dedicate , consecrate , Pledge , Warn , Alarm , Admonish , Ultimatum",link to dictionary,,
??????,"Drain , Exhaust , Empty ,",link to dictionary,,
??????,"Descend , Reveal , Rest , Camp , Stop , House , Bestow , Grant , Assign , Transfer , Abdicate",link to dictionary,,
??????,"Pull out , Remove , take off , Abstain , Refrain , Throes of death , Desire , Controversy , Conflict",link to dictionary,,
??????,"Trace , Ancestry , Ascribe , Adequate , Appropriate , Balance , Equation",link to dictionary,,
??????,"Delete , Abolish , Repeal , Copy , Transcript , Calligraphy style , Succession",link to dictionary,,
??????,"Carry away and scatter , Blow up , Destruction , Demolition ,",link to dictionary,,
??????,"Carry away and scatter , Blow up , Destruction , Demolition ,",link to dictionary,,
??????,"Devoted life , Ascetic Life , Sacrifice",link to dictionary,,
??????,"Father , Offspring , Descendents , Breed , Reproduce",link to dictionary,,
??????,"Women , Female , Feminist",link to dictionary,,
??????,"Arise , Originate , Proceed , Grow , Develop , Youth , New Generation , Rising Generation , Writing , Style , Author",link to dictionary,,
??????,"Forget , Oblivion",link to dictionary,,
??????,"Spread , Unfold , Resurrect , Publish ,",link to dictionary,,
??????,"Spread , Unfold , Resurrect , Publish ,",link to dictionary,,
??????,"Lively , Active , Victorious , Strength , Vigor , Incentive",link to dictionary,,
??????,"Elevated , Rise , Discord , Animosity",link to dictionary,,
??????,"Raise , Erect , Hoist , Fatigue , Statue , Idol , Monument , Minimum amount of property to Alms tax , Sword , Swindler , Share",link to dictionary,,
?????,"Fix , Specify , Determine , Line up text , wording , Forelock , Quotation marks",link to dictionary,,
??????,"Listen , Try to hear , Eavesdrop",link to dictionary,,
??????,"Advise , Council , Good will , Sincere , Faithful ,",link to dictionary,,
??????,"Help , Assist , Victorious , Christian , Nazareth , Support",link to dictionary,,
??????,"Mid point , Half , Noon , middle , Share equally , Justice , fairness ,",link to dictionary,,
??????,"Pick up , Stack , Order , Arrange , Pile , Row , Cushion , Pillow , Mattress , Compose",link to dictionary,,
??????,"Ripe, Mature, Well Cooked",link to dictionary,,
??????,"Pick up , Stack , Order , Arrange , Pile , Row , Cushion , Pillow , Mattress , Compose",link to dictionary,,
??????,"Flourishing , Blooming , Fresh , Glowing , Radiant , Gold , Health , Vigor",link to dictionary,,
??????,"Thrust , Ram , Butted , Bullfight",link to dictionary,,
??????,"Dribble , Trickle , Drop , Sperm",link to dictionary,,
??????,"Speak , Pronounce , Articulated Speech , Word , Decree , Belt , Ring , Boundary , Area , District",link to dictionary,,
??????,"See , View , Look , Delay, Postponement, Glance , Examine , Judge , Under Consideration",link to dictionary,,
??????,"Sleepy , Doze , Slumber , Stagnant",link to dictionary,,
??????,"Cry , Scream , Screech",link to dictionary,,
??????,"Sandal , Shoe , Horseshoe",link to dictionary,,
??????,"Live comfort , Luxury , Delight , Enjoy , Experience , Grazing livestock , Benefit , Blessing , Grace of God , Softer , Finer , Donor",link to dictionary,,
???????,An adult female sheep.,link to dictionary,,
??????,"Trickle , Prick , Sow dissention",link to dictionary,,
??????,"Spit , Exhale , Utter to Transform , Saliva , Successor",link to dictionary,,
??????,"Spread , Diffuse , Blow , Grant , Give , Breath , Fragrance",link to dictionary,,
??????,"Blow , Puff , Breathe , Inflate , Swelling , Conceited , Flatulent",link to dictionary,,
??????,"Shy , Avoid , Shun , Stampeded , Band , Party , Group , Individual , Deter , Repulsion , Clash , Conflict , Discord",link to dictionary,,
??????,"Shy , Avoid , Shun , Stampeded , Band , Party , Group , Individual , Deter , Repulsion , Clash , Conflict , Discord",link to dictionary,,
??????,"Exhausted , Used up , Run out , Entry , Booked Item , Consumption , Waste , Impatient , Enjoy to the full",link to dictionary,,
??????,"Valuable , Sparring , Human being , Person , Individual , Soul , Spirit , Breath , Compete , Fight , Struggle ,",link to dictionary,,
??????,"Tease , Puff up , Feathers , Wool , Fluffy , Comb",link to dictionary,,
??????,"Sell well , Used , Exhausted , Tunnel , Expense , Cost , Cost of living , Maintenance , Support wife , Hypocrisy , Dissemblance ,",link to dictionary,,
??????,"Performance , Booty , Present , Super grate in prayers , charity",link to dictionary,,
??????,"Useful , Beneficial , Help , Gain , Good , Welfare , Profit , Public service",link to dictionary,,
??????,"Useful , Beneficial , Help , Gain , Good , Welfare , Profit , Public service",link to dictionary,,
??????,"Sell well , Used , Exhausted , Tunnel , Expense , Cost , Cost of living , Maintenance , Support wife , Hypocrisy , Dissemblance ,",link to dictionary,,
??????,"Bore , Pierce , Perforate , Uncover , Mountain Trail , Virtuous , Investigate , Explore , Search ,Union, Leader,",link to dictionary,,
????,"Expel, Banish, Deport, Negate, Negative,",link to dictionary,,
??????,"Save , Rescue , Escape , Recover , Relief ,",link to dictionary,,
??????,"Dig , Pierce , Hollow out , Cut , Carve , Engrave , Strike , Offended , Quarrel , Spot on a date pit , Hole , Eye socket , Wood pecker , Worthless thing , Misfortune , Calamity",link to dictionary,,
??????,"Decrease , Reduce , Lesson , Deficit , Loss , Shortage , Fault ,",link to dictionary,,
??????,"Destroy , Demolish , Break , Violate , Oppose , Contras , Conflict , Collapse , Rebellion",link to dictionary,,
??????,"Soak , Steep , Brew , Quench , Swamp , Marsh",link to dictionary,,
??????,"Revenge , Hostile , Vengeance , Grudge , Punishment",link to dictionary,,
??????,"Break , Violate , Breach , Perfidious , Disloyal",link to dictionary,,
??????,"Difficult, Unhappy , Give Little",link to dictionary,,
??????,"Shoulder, Side, Highland, Distress , Afflict , Give Up , Deviate , Swerve , Calamity , Avoid , Shun , Refrain",link to dictionary,,
??????,"No Knowledge , Ignorance , Deny , Dispute , Forbidden , Atrocity",link to dictionary,,
??????,"Marry , Married , Matrimony , Marriage",link to dictionary,,
??????,"No Knowledge , Ignorance , Deny , Dispute , Forbidden , Atrocity",link to dictionary,,
??????,"Invert , Reverse , Lower , Withdraw , Bow , Tilt one head ,",link to dictionary,,
??????,"Withdraw , Turn away , Retreat , Fall Back",link to dictionary,,
??????,"Shrink , Withdraw , Punish , Torture , Fetter , Chain , Warning , Repel , Drive back",link to dictionary,,
??????,"Stop , Disdain , Reject , Irresistible , Immeasurable , Brush aside , Proud , Haughty , Mums",link to dictionary,,
??????,"Ant , Antlike , Numbness , Itching, Fingertip",link to dictionary,,
?????,"Grow , Increase , Multiply",link to dictionary,,
?????,"Number, Figure",link to dictionary,,
??????,"Proceed, Act, Purpose, Way, Plan, way, road, Method, Plan",link to dictionary,,
??????,"Flow copiously , Gush Forth , Scold , Chide , Stream , River , Day time ,",link to dictionary,,
?????,"Forbid , Prohibit , Restrain , Mind , Intellect , Limit , Expire , Abandoned , Finite , Extreme , Concluded ,",link to dictionary,,
?????,"Collapse, Weighed Down",link to dictionary,,
?????,"Represent , Substitute , Return from time to time , Afflict , Hit , Happen , Misfortune , Disaster , Deputy , Delegate , Representation , Authorize",link to dictionary,,
????,"Fire , Hell , Volcano , Igneous , Burning , Blazing , Light , Luminous , Brightness , Glow , Flowering , Blossoming , Enlightenment",link to dictionary,,
????,"Fire , Hell , Volcano , Igneous , Burning , Blazing , Light , Luminous , Brightness , Glow , Flowering , Blossoming , Enlightenment",link to dictionary,,
?????,"Seize , Skirmish , Quarrel , Hostility",link to dictionary,,
??????,"She Camel , Choosey",link to dictionary,,
?????,"Give , Present , Grant , Manner , Favor , Benefit , Reach , Take , Accept , Available , Eat , Meal , Drink , Grasp , Comprehend , Discuss ,",link to dictionary,,
?????,"Sleep , Go to bed , Calm Down , Overlook , Reassured , Accept , Slumber , Nap , Entrust",link to dictionary,,
?????,"Intend , Plan , Resolve , Determine , Absent , Pits of fruit , Core , center , nucleus , starting point , Nuclear , Enemy , Hostile",link to dictionary,,
?????,"Rise of dust , Fine Dust , Dust Particles Floating in the air , Go up in the smoke , Ruin , Scatter",link to dictionary,,
??????,"Descend , Fall down , Sink , Lower , Throw down , Reduce",link to dictionary,,
??????,Spend the night in prayer,link to dictionary,,
??????,"Emigrate , Separate , Desert , Obscenity , Departure , Midday Heat ,",link to dictionary,,
??????,"Emigrate , Separate , Desert , Obscenity , Departure , Midday Heat ,",link to dictionary,,
??????,"Sleep Peacefully , Calm down , Subside , Bedrooms",link to dictionary,,
?????,"Pull Down , Raze , Destroy",link to dictionary,,
??????,"Pull Down , Wreck , Demolish , Tear up , Blow up , Destructive , Fall , Collapse , Ruin",link to dictionary,,
?????,"Guide , Show the way , Lead , Right thing , True faith , Guidance , way , Manner , Present , Donation , Grant , Discover",link to dictionary,,
??????,"Tear , Lacerate , Wear out , Harm , Irritate , Over cook meat",link to dictionary,,
??????,"Fight , Escape , Desert , Help. Rescue , Smuggle",link to dictionary,,
??????,"Hurry , Rush",link to dictionary,,
??????,"Emaciate , Lean , Joke , Jest , Comedy , Funny",link to dictionary,,
???????,"Scold , Smear , Mock , Laugh , Ignore , Scorn , Contempt ,",link to dictionary,,
?????,"Shake , Rock , Tremble , Wave , Nod , Push , Vibration",link to dictionary,,
??????,"Rout , Defeat , Put to Flight , Roll of Thunder",link to dictionary,,
??????,"Rout , Defeat , Put to Flight , Roll of Thunder",link to dictionary,,
??????,"Destroy , Smash , Crush , Dry Stalk , Chaff ,",link to dictionary,,
?????,"To Drive away , Crisp , Cheerful , Smile ,",link to dictionary,,
??????,"Digest , Oppress , Wrong , Stand , Put up with , Wholesome",link to dictionary,,
??????,"Protrude the neck , Run Fast",link to dictionary,,
?????,"Appear , Lunar month, To Offer and animal to God",link to dictionary,,
?????,"Appear , To come up of a new moon , Fall heavily , Crescent , New moon , Shout with joy , to Offer",link to dictionary,,
??????,"Perish , Die , Annihilate , Death , Ruin , Destruction , Dangerous , Destructive , Tired , Fatigued",link to dictionary,,
???????,"Come , Come on , Give me , Go quickly , Let us go",link to dictionary,,
??????,"Impatient , Restless , Anxiety , Alarm",link to dictionary,,
?????,"Grieve , Distress , Worry , Trouble , Intend , Plan , Begin , Rise , Get up , Old , Serious , Important",link to dictionary,,
??????,"Calm , Fade Away , Extinguish , Lifeless , Motionless , Soothe",link to dictionary,,
??????,"Pour down , Shower of rain ,",link to dictionary,,
??????,"Urge , Prod , Backbite , Slander ,",link to dictionary,,
??????,"Press , Mumble , Whisper ,",link to dictionary,,
??????,"Delight , Enjoy , Happiness , Congratulation",link to dictionary,,
?????,"Here , Over here , That place , This Place",link to dictionary,,
?????,"Repent , Jew , Consideration",link to dictionary,,
?????,"Easy , Comfort , Leisure , Disgrace , Shame , Despise , Insult , Abuse , Misjudge , Despair",link to dictionary,,
?????,"Form , Shape , Appearance , Condition , Dispose",link to dictionary,,
?????,"Drop , Fall , Blow , Love , Passion , Desire , Fancy<abyss , Pitch , Ditch. Hole , Air , Atmosphere , Wind , Climate , Breakdown , Throw one self down",link to dictionary,,
??????,"Up , Come on , Come up , Let us go",link to dictionary,,
?????,"Bring , Give me , Come here , Come on , Shout , Call out",link to dictionary,,
?????,"Stirred up , Excited , Agitation , Turmoil , Battle ,",link to dictionary,,
