ArabicWord,EnglishMeaning,Link,
فَارَ,"Boil , Flare up , Gush forth",link to dictionary,
فَاقَ,"Surpass , Superior , Exceed , Up , On top , Above , Beyond , Unlimited , Excessive , Higher , Awake , Recovery",link to dictionary,
فَارَ,"Boil , Flare up , Gush forth",link to dictionary,
فَازَ,"Success , Triumph , Achievement , Winner",link to dictionary,
فَوض,"Disorder, Chaotic, Mandate, Authorization",link to dictionary,
فَاءَ,"Return , Shift from West to East , Shadow",link to dictionary,
فَاهَ,"Utter , Voice , Say , Mouth",link to dictionary,
فِي,"In , At , On , With , About , for",link to dictionary,
فَاضَ,"Flood, Abundant, Spread, Generous, Abundance, Detail",link to dictionary,
فِيل,Elephant,link to dictionary,
قَبَرَ,"Bury , Grave , Tomb , Cemetery",link to dictionary,
قَبَسَ,"Acquire , Borrow , Adopt , Live Coal , Firebrand",link to dictionary,
قَبَضَ,"Seize , Grasp , Hold , Receive , Collect , Constipate",link to dictionary,
قَبُحَ,"Ugly , Repulsive , Shameful , Dislike",link to dictionary,
قَبِلَ,"Accept , Receive , Approve , Previous , Earlier , Before , Front , Face , In Front , from , Near , Towards , Direction of Kaaba , Jerusalem , Power , Ability , Aptitude , Comparison , Reception",link to dictionary,
قَتَرَ,"Poor , Parsimonious",link to dictionary,
قَتَّ,"Misrepresent , Slanderer ,",link to dictionary,
قَتَلَ,"Kill , Murder , Victim , Deadly , Battle , Fight , Struggle",link to dictionary,
قَحَمَ,"Plunge , Rush , Reckless , Daring , Drag , Invade , Penetrate",link to dictionary,
قَحَمَ,"Plunge , Rush , Reckless , Daring",link to dictionary,
قَدَحَ,"Bore , Pierce , Slander , Violate , Strike fire , Emit Spark , Cup , Glass , Rainbow , Flint , Lighter , Weight , Consider",link to dictionary,
قَدَرَ,"Decree , Ordain , Have Power , Capable , Amount , Sum , Value , Night in which Quran was revealed , Fate , Destiny , Measure ,",link to dictionary,
قَدْ,"Indeed , Already , Completion of an Action",link to dictionary,
قَدَّ,"Strip , Strap , Shape , Figure , Thin , Emancipated",link to dictionary,
قَدَمَ,"Precede , Arrive , Come , Old Tomes , Ancient , Front , Foot , Bold , Daring , Submit , Promote , Advance",link to dictionary,
قَدُسَ,"Holy , Sacred , Sanctuary",link to dictionary,
قَدَاَ,"Arrive, Draw near, Model, Example, Example, Guided, Following the example.",link to dictionary,
قَذَفَ,"Throw , Hurl , Toss , Defamation , Slander",link to dictionary,
قَرَّ,"Settle Down , Seat , Center , Site , Place , Decided , Cold , Delight to the eye , Joy , Pleasure , Stability , Residence",link to dictionary,
قَرُبَ,"Near , Close , Approach , Relative , Sacrifice , Recently , Come Close,",link to dictionary,
قَرَأَ,"Recite , Read , Study , Reading of The Quran",link to dictionary,
قَرَضَ,"Cut , Bite , Loan , Bonds , Scissors , Die out",link to dictionary,
قِرْد,"Monkey , Ape ,",link to dictionary,
قَرَحَ,"Wound , ulcer , Genius , Talent",link to dictionary,
قَرَعَ,"Knocking , Beating , Striking , Ringing , Pumpkin , Zucchini , Lot , Ballot , Misfortune , Calamity , Hour of the last judgment , Draft , Vote , Selection",link to dictionary,
قَرَفَ,", Commission, Peel , Loath , Detest , Cinnamon , Cemetery",link to dictionary,
قِرْطَاس,"Paper , Sheet of paper",link to dictionary,
قَرَنَ,"Connect , Add , Horn , Capsule , Century , Alexander the great , companion , associate , spouse ,",link to dictionary,
قرو,"Investigate , Pursue , Examine",link to dictionary,
قَرَى,"Receive , Entertain , Village , Mecca Medina , Country , Peasant",link to dictionary,
سَهَمَ,"Sad, Arrow, Share, Cast lots",link to dictionary,
قَسَمَ,"Divide , Split , Distribute , Group , Class , Part , Receipt , Share , Classify , Swear , Oath",link to dictionary,
قُسْطَاس,"Balance , Scale , Criterion",link to dictionary,
قسط,"Justice , Fair , Correct , Part , Share , Installment , Payment",link to dictionary,
قَسَا,"Hard , Harsh , Cruel , Stern ,",link to dictionary,
قَشْعَرَ,"Shudder , Tremble , Shiver",link to dictionary,
قَصَدَ,"Seek , Pursue , Aspire , Follow , Going , Intent , Compose , Thrift , Saving , Economy",link to dictionary,
قَصَدَ,"Seek , Pursue , Aspire , Aim , Intent , Purpose ,",link to dictionary,
قَصَّ,"Cut off , Trim , Follow Tracks , Relate , Tell , Story , Forelock , Retaliate , Punish ,",link to dictionary,
قَصَمَ,"Break , Brittle, Fragile",link to dictionary,
قَصَا,"Far away , Distant , Remote , Remove , Dismiss , To Reach Far away , Inquiry , Look deeply",link to dictionary,
قَصَفَ,"Break, Harass, Thunder ,",link to dictionary,
قَصُرَ,"Become short , Insufficient , Miss , To desist , Abstain , Deficiency , Decrease , Negligent , Castle , Palace",link to dictionary,
قَضَبَ,"Cut off , Trim , Stick , Abridged , Condensed account , Brief , Concise",link to dictionary,
قَضَى,"Settle , Complete , Accomplish , Judge , Decide , Sentence , Devine Decree , Necessary , Requirement",link to dictionary,
قَطَرَ,"Drop , rain , Region , Country , Diameter , Zone , Eye drop",link to dictionary,
قَطَّ,"Curve , Trim , Sharpen",link to dictionary,
قَطَعَ,"Cut , Amputate , Separate , Break , Disconnect , Prohibit , Plot of Land , Lot , Section , Interruption , Termination.",link to dictionary,
قَطَفَ,"Pick , Gather , Harvest , Pluck off , Selected piece.",link to dictionary,
قَطَنَ,"Live, Cotton, Pulse, Variety of Squash",link to dictionary,
قَعَدَ,"Sit down , Remain seated , Lay in wait , 11th month , companion , guardian , seat , Chair , Bench",link to dictionary,
قَعُرَ,"Deep , Hollowed out , Keel , Shout , Scream , Concave",link to dictionary,
قَفَا,"Follow Trail , Track , Back , Reverse",link to dictionary,
قَفَلَ,"Come home , Shut , Close , Return , Lock , Padlock , Block , Accumulate , Convoy , Caravan",link to dictionary,
قَلَبَ,"Turn , Over , Inside out , upside down , heart , center , essence , Marrow , Mind , Upheaval , Revolution",link to dictionary,
قَلَّ,"Small , Few , Rare , Decrease , Tremor , Highest Point , Summit , Independent , Autonomous , Separate , distinct",link to dictionary,
قَلَد,"Necklace , Key , Key position , Power , Appoint , Award , Follow Blindly , Traditional , Customary , Conventional",link to dictionary,
قَلَعَ,"Pluck Out , Root Out , Abandon",link to dictionary,
قَلَا,"Fry , Roast , Hate , Detest , Alkaline , Basic , Coptic , Patriarch",link to dictionary,
قَمَرَ,"Gamble , Moon , Satellite , Crescent , Moonlight , Moon shape , Lunar months , Moon Letters",link to dictionary,
قَلًمَ,"Cut , Prune , Trim , Pen , Handwriting , Style , Office , Bureau , Department , Writings",link to dictionary,
قَمَصَ,"Gallup , Spring , Jump , Shirt , Dress , Gown , Jacket , Incarnation , Clothe",link to dictionary,
قَمَعَ,"Suppress , Subdue , Hinder , Prevent",link to dictionary,
قَمِلَ,"Lice Infested ,",link to dictionary,
قَنَتَ,"Obedience to God , Submissive , Piety",link to dictionary,
قَنَا,"Acquire , Appropriate , Possess , Own , Shaft , Pipe , Water Way , Small streams",link to dictionary,
قَنِطَ,"Despair , Hopelessness , Discouraged",link to dictionary,
قَنِعَ,"Content , Satisfied , Convinced , Armor , Veil , Masked",link to dictionary,
قَنْطَرَة,"Arched Stone , Bridge , Vault , Weight of 100 Rattle",link to dictionary,
قَاب,"Short Distance , Very Close , Chick",link to dictionary,
قَاتَ,"Feed , Nourish , Food ,",link to dictionary,
قَهَرَ,"Subjugate , Conquer , Defeat , Coercion , Force , Victor , Grieved",link to dictionary,
صَلُبَ,"Hard, Stiff, Backbone, Text",link to dictionary,
قَارَ,"Pitch , Tar , Round Hole , Cut Out in a round form , Neckline",link to dictionary,
قَاع,"Plain , Lowland , Bottom , Gulf , Abyss",link to dictionary,
قَوِسَ,"Bent , Curve , Bow , Arc , Arch , Rainbow",link to dictionary,
قَامَ,"Get up , Stand up , Rise , Ascend , Depart , Leave , Located , Based , Nation , People , Figure , Frame , Support , Supply , Day of resurrection , Rising , Straight , Correct , Straight line",link to dictionary,
قَالَ,"Speak , say , Tell , Word , Report , Account , Doctrine , Confer , Negotiate , Dispute , Argue",link to dictionary,
قَوِيَ,"Strong , Vigorous , Superior , Strength , Power , Force , Empty , Deserted.",link to dictionary,
قَيْل,"Midday nap , Siesta , Chief , Resting Place , Retirement , Abolish , Cancellation",link to dictionary,
قِيَافَة,"Tracking, Following, Guise",link to dictionary,
كَبَّ,"Throw down , Throw , Prostrate , Drinking Glass , Ball of Thread , Devoted",link to dictionary,
قَامَ,"Get up , Stand up , Rise , Ascend , Depart , Leave , Located , Based , Nation , People , Figure , Frame , Support , Supply , Day of resurrection , Rising , Straight , Correct , Straight line",link to dictionary,
كَذَا,"So and so , Such and such",link to dictionary,
كَبَتَ,"Suppress , Repress",link to dictionary,
كَبَدَ,"Wear down , Endure , Suffer , Liver , Heart , Center",link to dictionary,
كَبَرَ,"Great , Big , Old , intolerant , Too Hard , Pride , Arrogance , Large , Spacious , Magnification , Praise",link to dictionary,
كَتَبَ,"Write , Record , Compose , Draft , Letter , Message , Document , Deed , The Quran , The Bible , Library , School , Bureau , Department , Secretary , Clerk",link to dictionary,
كَتَمَ,"Hide , Keep Secret , Suppress , Silence , Quench fire",link to dictionary,
كَثَبَ,"Near , Short Distance , Dune",link to dictionary,
كَثَرَ,"Many , Numerous , More , Multiply",link to dictionary,
كَدَحَ,"Exertion , Toil , Labor , Earn a living",link to dictionary,
كَدِرَ,"Dull , Muddy , Unhappy , Grief , Sorrow",link to dictionary,
كَدَّ,"Work Hard , Toil , Exhaust , Industrious",link to dictionary,
كَذَبَ,"Lie , Deceive , Mislead , Falsehood , Disprove , Deny",link to dictionary,
كَرَبَ,"Worry , Anxiety , Distress , Pain",link to dictionary,
كَرَّ,"Return , Recur , Retreat , Attack , Repeat , Succession , Purification ,",link to dictionary,
كُرْسيَ,"Chair , Throne , Base , Apostolic ,",link to dictionary,
كَرُمَ,"Noble , Magnanimous , Liberal , Kindness , Decent , Generous , Respect , Prestige",link to dictionary,
كَرِهَ,"Hate , Detest , Loath , Dislike , Force , Compel , Unwilling , Reluctant",link to dictionary,
كَلَّا,"Not at all, Certainly not, A thousand times no",link to dictionary,
كَسَاد,"Find no market , Sell badly , Stagnant , Economic Depression , Recession , Slump",link to dictionary,
كَسَبَ,"Gain , Ear , Profit , Possess , Own , Acquisition",link to dictionary,
كَسَفَ,"Dark , Gloomy , Eclipse , Piece , Fragment , Reprimanded",link to dictionary,
كَسِلَ,"Lazy , Negligent , Loafer",link to dictionary,
كَسَو,"Cloth , Dress , Face , Garment",link to dictionary,
كَشَطَ,"Pull Off , Remove , Erase , Scrap ,",link to dictionary,
كَشَفَ,"Remove , Raise , Uncover , Expose , Investigation , Report , Discover , Detect",link to dictionary,
كَظَمَ,"Keep silent , Conceal , Suppress anger , Filled with anger",link to dictionary,
كَعَبَ,"To be full round of breast , Bosom , Joint , Ankle , Heel , Die , Cube , High rank , Kaaba , Cubic",link to dictionary,
كَعَبَ,"To be full round of breast , Bosom , Joint , Ankle , Heel , Die , Cube , High rank , Kaaba , Cubic",link to dictionary,
لَأْلَا,"Shine , Sparkle , Radiate , Pearl , Brilliancy",link to dictionary,
لَبَدَ,"Thick , Coherent , Felt Cap , Thick Masses of Clouds , Weigh Down",link to dictionary,
لَبْ,"Intelligent , Core , Marrow , Pitch , Essence ,",link to dictionary,
لَبِثَ,"Hesitate , Delay , Short Delay , Pause , Stop over",link to dictionary,
لَبِسَ,"Put on , Wear , Dress , Obscure , Clothing , Costume , Garment , Inform , Ambiguous , Doubt",link to dictionary,
كَفَّ,"Border , Hem , Abstain , Refrain , Cease , Restrain , Palm of the hand , Paw , Glove , Sufficient , Blind , Beg , Altogether , Surround",link to dictionary,
كَفَاَ,"Turn Around , Fade , Turn Back , Retreat , Equal , Alike , Efficient , Alike ,",link to dictionary,
كَفَرَ,"Cover , Hide , Renege one faith , infidel , small village , hamlet , darkness of the night , grave , unbeliever , Ungrateful",link to dictionary,
كَفَلَ,"Support , Provide , Put up Bail , Legal Guardian , Guarantee , Sponsor , Pledge",link to dictionary,
كَفَى,"Enough , Sufficient , Protect , Save , Ability , Reward , Content ,",link to dictionary,
كُلَّ,"Totality , Entirety , everyone , each one<everything , All together , Whatever , Whenever , Whoever ,",link to dictionary,
كَلِبَ,"Dog , Canine , Wolf , Otter , Shark , Burning of Thirst , Greed , Rabies , Mad ,",link to dictionary,
كَلَأَ,"Guard , Protect , Grass , Pasture ,",link to dictionary,
كَلَحَ,"Frown , Mein , Facial Expression , Gloomy , Color less",link to dictionary,
كُل,"Totality , Entirety , everyone , each one<everything , All together , Whatever , Whenever , Whoever ,",link to dictionary,
كَلِمُ,"Word , Speech , Address , Announcement , Talking , Language , Discussion , Speak , Word , Cut ,",link to dictionary,
كُلِفَ,"Burdening , Trouble , Discomfort , Ceremony , Cost , Formality , Expenses , Freckled , Spotted ,",link to dictionary,
كَم,"Amount , Quantity",link to dictionary,
كَمَّ,"Cover , Hide",link to dictionary,
كَمِلَ,"Perfect , Complete , Whole",link to dictionary,
كَمِهَ,"Blind , Dim , Dark , Born Blind",link to dictionary,
كَنَّ,"Hide , Conceal , Shelter , Home , Nest , Cover , Hidden , Well Kept ,",link to dictionary,
كَنَّ,"Hide , Conceal , Shelter , Home , Nest , Cover , Hidden , Well Kept ,",link to dictionary,
كَنَزَ,"Bury , Hide , Treasure , Firm , Sturdy",link to dictionary,
كَنَسَ,"Sweep , Sweeper , Church",link to dictionary,
كَهَلَ,"Mature Age , Middle Age , Old Age",link to dictionary,
كُنُود,"Ingratitude , Ungrateful",link to dictionary,
كَهَنَ,"Predict the Future , Prophecy",link to dictionary,
كَهْف,"Cave , Cavern , Seven Sleepers",link to dictionary,
كَوْثَر,"Much , Abundant , Large Quantity , River in Paradise",link to dictionary,
كُوب,"Drinking Glass , Tumbler",link to dictionary,
كَادَ,"Almost , Be about , On the point , All but , Scarcely , Barely",link to dictionary,
كَأْس,"Nice , Fine , Pretty , Beautiful , Prettier",link to dictionary,
كَوْكَب,"Star , Group , Troop",link to dictionary,
كُور,"Camel Saddle , Furnace , Round Spherical , Roll , Coil , Curl Up",link to dictionary,
كود,"Pile , Pile up",link to dictionary,
كَانَ,"exist , occur , have , own , World , Universe , Cosmic , Place , Site , Location , Creation , Origination , Shapely , Genesis",link to dictionary,
كَانَ,"exist , occur , have , own , World , Universe , Cosmic , Place , Site , Location , Creation , Origination , Shapely , Genesis",link to dictionary,
كَيدَ,"Deceive , Outwit , Harm , Conspire , Irritate , Anger , Conspiracy , Intrigue",link to dictionary,
كَيْ,"So That , In order that, Lest",link to dictionary,
كَيْفَ,"How , Mood , State , Condition , Pleasure , Manner , Fashion , Nature , Modify , Conform , Adopt",link to dictionary,
كَالَ,"Measure , Weigh , Compare ,",link to dictionary,
لَبْن,"Milk , Yogurt , Dairy Products ,",link to dictionary,
لَجَأَ,"Take refuge , Shelter , Seek information , Refugee , Inmate of Asylum ,",link to dictionary,
لَجَّ,"Obstinate , Persevere , Argue , Troublesome , Depth of sea , Abyss , Noise ,",link to dictionary,
لَحَدَ,"Bury , Dig a grave , Deviate from straight path , Apostate",link to dictionary,
لَحَفَ,"Cover , Foot of Mountain , Demand Urgently",link to dictionary,
لَحِقَ,"Catch up , keep close , Overtake , Following , Added , Attached , Dependency , Accompany , Adjacent",link to dictionary,
لَحَا,"Bear , Insult , Abuse",link to dictionary,
لَحَمَ,"Flesh , Meat , Mend , Weld , Relationship , Kinship ,",link to dictionary,
لَحَنَ,"Speak un grammatical Arabic , Intelligent , Sensible , Chant , Music",link to dictionary,
لَدَّ,"Dispute Violently , Quarrel , Fiercely , Grim , Tough",link to dictionary,
لَدَى,"At , By , In front , Before , With , He has ,",link to dictionary,
لَذَّ,"Sweet , Delicious , Pleasant , Joy , Lust ,",link to dictionary,
لَزَبَ,"Firm , Fix , Adhere , Stick ,",link to dictionary,
لَّدُن,"At, By, Near , With, In Possession of",link to dictionary,
لَزِمَ,"Cling , Adhere , Stick , Necessary , Imperative , Obligatory , Compulsive",link to dictionary,
لَسِنَ,"Eloquent , Language , Tongue , Orally , Verbally",link to dictionary,
لَطَفَ,", Finer, More Delicate, Kind , Friendly , Graceful , Elegant",link to dictionary,
لَظِيَ,"Flame , Blaze , Burn",link to dictionary,
لَعِبَ,"Play , Toy , Deceive , Game , Joke , Amuse , Sport , Gambling , Trick , Saliva , Drool , Playground",link to dictionary,
لَفَّ,"Warp , Roll , Wind , Coil , Envelop , Cover , Densely growing Tree , Gathered , Assembled , Crowd , File , Folder",link to dictionary,
لَعَنَ,"Curse , Damn , Abominable",link to dictionary,
لَغَا,"Speak Null , Talk non sense , Language , Dialect , Idiom , Lexicographer , Incorrect usage of grammar , Incorrect usage ,",link to dictionary,
لَفَتَ,"Turn , Glance , Quick Look , Attracting Attention , Regard Consideration ,",link to dictionary,
لَفَحَ,"Burn , Sear , Strike Lightly ,",link to dictionary,
لَفَظَ,"Speak , Enunciate , Pronounce , Sound , Expression , Term , Word , Verbal , Liberal , Oral",link to dictionary,
لَقَب,"Nickname , Title , Surname ,",link to dictionary,
لَقَحَ,"Impregnate , Pollinate , Pollen",link to dictionary,
لَقَطَ,"Gather , Pick Up , Tongue , Pincers",link to dictionary,
لَقَمَ,"Clog , Block , Eat , Swallow , Mouthful ,",link to dictionary,
لَقِفَ,"Snatch , Catch , Seize , Usurp",link to dictionary,
لَقِيَ,"Encounter , Meet , Experience , Endure , Automatic , Throw , Drop , Submit , Recite , Sing , Receive , Accept , Obtain ,",link to dictionary,
لَكِنْ,"And , But , However , Yet",link to dictionary,
لَمَحَ,"Glance , See , Notice , Quick look , wink , Glow of Light Flash ,",link to dictionary,
لَمَّ,"Slight mental derangement, Gather , Collect , Reunite , Arrange",link to dictionary,
لَهِبَ,"Burn , Blaze , Kindle , Ignite , Catch Fire , Inflamed",link to dictionary,
لَهَا,", Forget, Oblivious, Amuse oneself , Pastime Dally",link to dictionary,
لَهَثَ,"Breath Heavily , Gasp ,",link to dictionary,
لَهِمَ,"Devour , Swallow , Consume , Inspire , Instinct",link to dictionary,
لَاحَ,"Appear , Visible , Break , Spark , Seem , Appear , Board , Slate , Slab , Sheet , Program , Project , Bill , Sign , Signal , Allusion",link to dictionary,
لَاذَ,"Refuge , Shelter , Protection",link to dictionary,
لَوْ,"If, Even though",link to dictionary,
لَامَ,"Blame , Critic , Accuser , Linger , Procrastinate",link to dictionary,
لَوْن,"Color , Complexion , Kind , Species , Changeable , Multicolor",link to dictionary,
لَوَى,"Turn , Curve , Twist, Pay attention",link to dictionary,
لَيْتَ,Only if I wish,link to dictionary,
لَيْسَ,"Nothing , But , Only , Merely",link to dictionary,
لَيْل,"Night , Nightly , Cover of Darkness",link to dictionary,
لَانَ,"Soft , Gentle , Tender , Lenient , Smooth",link to dictionary,
مَا,"What , Which , Whatever",link to dictionary,
مَا,"What , Which , Whatever",link to dictionary,
مَّائَةٌ,Hundred,link to dictionary,
مَتَعَ,"Carry away , Take Away , Enjoyment , Delight , Compensation",link to dictionary,
مَتَى,"When , What time , How Long",link to dictionary,
مَثَلَ,"Resemble , Imitate , Compare , Similar , Same , Equivalent",link to dictionary,
مَتُنَ,"Strong , Solid , firm , strength , Pavement ,",link to dictionary,
مَثَلَ,"Resemble , Imitate , Compare , Similar , Same , Equivalent",link to dictionary,
مَجَدَ,"Glorious , Exalted , Splendor , Praiseworthy , Famous , Distinguish , Noble",link to dictionary,
مَحَصَ,"Clarify , Purify , Shiny , Testing , Thorough Examination",link to dictionary,
مَحَا,"Erase , Wipe out , Obliteration , Eradication ,",link to dictionary,
مَحَقَ,"Erase , Annihilate , Destroy , Obliteration , Eradication , Destruction , waning of the moon",link to dictionary,
مَحَلَ,"Barren Land , Plot , Famine, Pretext",link to dictionary,
مَحَنَ,"Try , Test , Subject , Trial , Ordeal , Examination , Experiment",link to dictionary,
مَحَنَ,"Try , Test , Subject , Trial , Ordeal , Examination , Experiment",link to dictionary,
لَوَىَ,,link to dictionary,
مَخَضَ,"Churn , Shake violently , In labor pain , butter milk",link to dictionary,
مَدَّ,"Extend , Expand , Stretch , Assist , Support , Matter , Article , Supply , Extend life ,",link to dictionary,
مَرَّ,"Past , March Past , Run , Transit , Crossing , Lapse , iron Shovel , Spade , Time , Turn , Twice , Several Times , Permit , Pass , Continue, (2-pp-624) Bitter, Strength, Power",link to dictionary,
مُزْن,"Rain , Clouds",link to dictionary,
مدن,"Town , City , Medina , Urban , Civil , Civilized",link to dictionary,
مَرَأَ,"Wholesome , Manly , Healthy, Person, A Man, Women,",link to dictionary,
مَرَحَ,"Lively , Glad , Rejoice , Cheerful",link to dictionary,
مَرْجَ,"Pasture Land , Meadow , Confusion , Jumble",link to dictionary,
مَرْجَان,"Small Pearls , Corals",link to dictionary,
مَرَعَ,"Pasture , Fertile , Flourishing",link to dictionary,
مَرِضَ,"Disease , Sickness , Illness , Patient , Nursing , Hospital",link to dictionary,
مَرِضَ,"Disease , Sickness , Illness , Patient , Nursing , Hospital",link to dictionary,
مَرْي,"Argument , Dispute , Doubt , Oppose , Contest",link to dictionary,
مَرْي,"Argument , Dispute , Doubt , Oppose , Contest",link to dictionary,
مَزَجَ,"Mix , Blend , Temperament , Nature , Intermingle",link to dictionary,
مَزَقَ,"Tear , Rend , Rapture , Shred , Burst Open",link to dictionary,
مَسَحَ,"Stroke , with hand , Wipe away , Rub off , wash off",link to dictionary,
مَسَّ,"Touch , Contact , Adjacent , Violate , Cohabit , Befall , Damage<harm , Calamity",link to dictionary,
مَسَخَ,"Transform , Convert , Distort , Disfigured",link to dictionary,
مَسَكَ,"Grasp , Claps , Seize , Hold , Grip , Detain , Restrain , Perfume ,",link to dictionary,
مَسَاَء,"Evening , Yesterday , Last night",link to dictionary,
مسكن,"Poverty , Misery , Submissiveness ,",link to dictionary,
مسكن,"Poverty , Misery , Submissiveness ,",link to dictionary,
مَشَى,"Go on Foot , Walk , Pace , Livestock , Cattle , Adopt , Adjust",link to dictionary,
مَضَغَ,"Embryo , Chew , Bite ,",link to dictionary,
مَضَى,"Elapse . Expire of time , Take away, Proceed",link to dictionary,
مَطَا,"Hurry ,Hour, Ride, Moment",link to dictionary,
مَطَرَ,"Rain , Pour out Shower",link to dictionary,
مَعَ,"With , Together , Accompanied , Together , Company , Same time",link to dictionary,
مَعْزِ,Goat,link to dictionary,
مَاعُون,"Utensil , Vessel , Examine",link to dictionary,
مَقَتَ,"Detest , Hate ,",link to dictionary,
مَكَثَ,"Remain , Dwell , Stay",link to dictionary,
مَكَرَ,"Deceive , Double cross , Trick",link to dictionary,
مَكُنَ,"Strong , Power , Ability , Strength , Possible , Capacity , Enable",link to dictionary,
مَلَأَ,"Fill , Occupy , Crowd , Congregation , Publicly , Help , Support , Join Forces",link to dictionary,
مَلَأَ,"Fill , Occupy , Crowd , Congregation , Publicly , Help , Support , Join Forces",link to dictionary,
مَلَّ,"Weary , Bored , Impatient , Tired",link to dictionary,
مَلَحَ,"Salt , Beautiful , Handsome , Sailor , Navigation , Maritime",link to dictionary,
مَلِقَ,"Poor , Flatter , Smooth , Level",link to dictionary,
مَسَّ,"Touch , Contact , Adjacent , Violate , Cohabit , Befall , Damage<harm , Calamity",link to dictionary,
مَلَكَ,"Angel, Acquire , Take , Possession , Property , wealth , state , Government , Royalty , State , Civilian ,",link to dictionary,
مَلَا,"Walk , Run , Open Country , Quite while , Long time , Dictate , Enjoy",link to dictionary,
مَنَّ,"Kind , Obligating , Grant , Favor , Gift , Blessing , Fate , Death , Weaken",link to dictionary,
مَنَعَ,", Protect, Stop , Detail , Hinder , Prevent , Refuse , Deny , Inaccessible , Resistance , Strength , Fortified",link to dictionary,
مَنَا,"Try , Tempt , Afflict , Suffer , Experience , Affected , Wish , Desire , Hope",link to dictionary,
مَنَا,"Try , Tempt , Afflict , Suffer , Experience , Affected , Wish , Desire , Hope",link to dictionary,
مَهْد,"Bed , Cradle , Grave , Resting Place",link to dictionary,
مَهَلَ,"Take one time , Grant , Respite , Slowly , Leisurely",link to dictionary,
مَهَنَ,", Degrade, Serve , Humble , Work , Business , Professionalism , Contempt , Abuse",link to dictionary,
مَهَنَ,"Serve , Humble , Work , Business , Profe4ssionalism , Contempt , Abuse",link to dictionary,
مَهَنَ,"Serve , Humble , Work , Business , Profe4ssionalism , Contempt , Abuse",link to dictionary,
مَاتَ,"Die , Perish , Death , Disease , Epidemic , Plague , Decease",link to dictionary,
مَاجَ,"Surge , Swell , Billows , Waves , Ripple , Vibration , Undulation",link to dictionary,
مَاجَ,"Surge , Swell , Billows , Waves , Ripple , Vibration , Undulation",link to dictionary,
مَال,"Property , Possession , Goods , Wealth , Money , Finance , Revenue , Treasury",link to dictionary,
مَال,"Property , Possession , Goods , Wealth , Money , Finance , Revenue , Treasury",link to dictionary,
مَا ءَ,"Water , Liquid , Hydraulic",link to dictionary,
مَادَ,"Move , Upset , Swing , Shake Violently , Open Field , Open space , Table , to Sway Back and forth",link to dictionary,
مَازَ,"Separate , Distinguish , Favor , Privilege , Merit , Surpass",link to dictionary,
مَيل,"Bend down , Lean over , Tilt , Slope , Affection , Liking",link to dictionary,
نَأَى,"Far away , Stay away , Remoteness , Remove , Place at a distance",link to dictionary,
نَأى,"Far away , Stay away , Remoteness , Remove , Place at a distance",link to dictionary,
نَبَأَ,"News , Information , announcement , Indicate , Reveal , Notification ,",link to dictionary,
نَبَتَ,"Grow Plant , Sprout , Germinate , Plant , Vegetable , Seedling , Cultivate , Plant nursery",link to dictionary,
نَبَذَ,"Throw Away , Reject , Discard , Abandon , Renounce , Turn away",link to dictionary,
نَبَزَ,"Sing , Shout , Granary , Barn , Swelling , Stress , Accent",link to dictionary,
نَبَطَ,"Gush out , Stream forth of water , Find , Invent , Discover ,",link to dictionary,
نَبَعَ,"Gush Forth , Source , Spring , Cause",link to dictionary,
نَجَدَ,"Support , Highland , Plateau , Upholstery , Comb , Tease",link to dictionary,
نثر,"Scatter, write in prose, fragmented",link to dictionary,
نَجُسَ,"Impure , Unclean , Contaminated",link to dictionary,
نَجَمَ,"Rise of star , Installment , Celestial body , Star , Constellation , Astronomy , mine , pit",link to dictionary,
نَجَا,"Save one self , Rescue , Escape , Whisper to each other , Converse confidentially",link to dictionary,
نَحَبَ,"Cry , Weeping , Period , death ,",link to dictionary,
نَحَتَ,"Carve , Cut out , Sculpt , Wood work , Stone work",link to dictionary,
نَحَرَ,"cut the throat , Slaughter , Skilled , Experience , Suicide",link to dictionary,
نَحَسَ,"Calamitous , Ill fated , Unlucky",link to dictionary,
نَحِلَ,"Bee, Emaciated , Loose weigh , Grow thin, Gift, Donation",link to dictionary,
نَخَرَ,"Snore, Decay, Decompose, Warm Eaton",link to dictionary,
نَدَّ,"Escape , Equal , Peer , Partner , Rival , Compromise",link to dictionary,
نَخَلَ,"Sift , Palm , Date Palm , Bran , Refuse , Sleeve",link to dictionary,
نَدَا,"Call , Summation , Meet , Assemble , Council , Moist , Wet , Club House , Proclamation",link to dictionary,
نَدَمَ,"Repent , Regret , Remorse , Drinking Companion",link to dictionary,
نَذَرَ,"Dedicate , consecrate , Pledge , Warn , Alarm , Admonish , Ultimatum",link to dictionary,
نَزَفَ,"Drain , Exhaust , Empty ,",link to dictionary,
نَزَلَ,"Descend , Reveal , Rest , Camp , Stop , House , Bestow , Grant , Assign , Transfer , Abdicate",link to dictionary,
نَزَعَ,"Pull out , Remove , take off , Abstain , Refrain , Throes of death , Desire , Controversy , Conflict",link to dictionary,
نَسَبَ,"Trace , Ancestry , Ascribe , Adequate , Appropriate , Balance , Equation",link to dictionary,
نَسَخَ,"Delete , Abolish , Repeal , Copy , Transcript , Calligraphy style , Succession",link to dictionary,
نَسَفَ,"Carry away and scatter , Blow up , Destruction , Demolition ,",link to dictionary,
نَسَفَ,"Carry away and scatter , Blow up , Destruction , Demolition ,",link to dictionary,
